Date,Open,High,Low,Close,Adj Close,Volume
2014-07-28,0.446750,0.446750,0.435500,0.443000,0.421708,330352000
2014-07-29,0.443250,0.450500,0.443000,0.444500,0.423136,217972000
2014-07-30,0.447250,0.453250,0.446000,0.452000,0.430276,246184000
2014-07-31,0.446500,0.450000,0.436750,0.437500,0.416473,401880000
2014-08-01,0.437500,0.444750,0.436000,0.442250,0.420994,219884000
2014-08-04,0.441750,0.445500,0.439000,0.441250,0.420042,241724000
2014-08-05,0.440000,0.448000,0.436250,0.441500,0.420280,298136000
2014-08-06,0.438500,0.446500,0.435250,0.441000,0.419804,223456000
2014-08-07,0.444750,0.448750,0.433500,0.436500,0.415521,407696000
2014-08-08,0.455500,0.477500,0.455500,0.475000,0.452170,894348000
2014-08-11,0.475500,0.477500,0.471250,0.472500,0.449790,344624000
2014-08-12,0.472250,0.475000,0.467250,0.472500,0.449790,296152000
2014-08-13,0.473250,0.479250,0.470250,0.475250,0.452408,256596000
2014-08-14,0.477000,0.477000,0.468000,0.470000,0.447411,255992000
2014-08-15,0.471500,0.478750,0.467000,0.476000,0.453122,369796000
2014-08-18,0.478000,0.483000,0.473250,0.482500,0.459310,284076000
2014-08-19,0.480500,0.486750,0.478750,0.484250,0.463015,248260000
2014-08-20,0.482500,0.484750,0.480000,0.481250,0.460146,221468000
2014-08-21,0.480000,0.482500,0.476000,0.476750,0.455844,272796000
2014-08-22,0.476250,0.481000,0.473250,0.477000,0.456083,251224000
2014-08-25,0.479000,0.482250,0.476750,0.477750,0.456800,153380000
2014-08-26,0.479000,0.487250,0.477250,0.486250,0.464927,269636000
2014-08-27,0.483250,0.487000,0.480000,0.480750,0.459668,182972000
2014-08-28,0.479750,0.485750,0.478250,0.484750,0.463493,179704000
2014-08-29,0.486500,0.487250,0.481250,0.486250,0.464927,207932000
2014-09-02,0.487500,0.487500,0.483000,0.487500,0.466122,192636000
2014-09-03,0.490000,0.493750,0.486750,0.492000,0.470425,259456000
2014-09-04,0.491250,0.503750,0.491000,0.500750,0.478791,491832000
2014-09-05,0.500250,0.502500,0.496000,0.499250,0.477357,253792000
2014-09-08,0.498750,0.499750,0.492750,0.494750,0.473054,319288000
2014-09-09,0.492500,0.495750,0.488000,0.488500,0.467079,198588000
2014-09-10,0.491250,0.492000,0.485750,0.490250,0.468752,172376000
2014-09-11,0.486750,0.488500,0.480000,0.485250,0.463971,250720000
2014-09-12,0.488250,0.488250,0.477500,0.478000,0.457039,262536000
2014-09-15,0.479500,0.480250,0.469500,0.471500,0.450824,294152000
2014-09-16,0.470250,0.481000,0.468750,0.478500,0.457517,219936000
2014-09-17,0.477250,0.483250,0.475000,0.478750,0.457756,173584000
2014-09-18,0.481750,0.486500,0.480250,0.486000,0.464688,219604000
2014-09-19,0.487500,0.488000,0.476250,0.477000,0.456083,601316000
